Date (TC+1),Valais,Grisons,Tessin,Reste de la Suisse,Niveau de stockage maximal dans toute la Suisse
,Énergie (TWh),Énergie (TWh),Énergie (TWh),Énergie (TWh),Énergie (TWh)
2000-01-03T01:00+01:00,2.037,1.226,0.758,0.904,8.5
2000-01-10T01:00+01:00,1.945,1.175,0.72,0.868,8.5
2000-01-17T01:00+01:00,1.733,1.063,0.651,0.777,8.5
2000-01-24T01:00+01:00,1.584,0.94,0.591,0.674,8.5
2000-01-31T01:00+01:00,1.414,0.803,0.517,0.581,8.5
2000-02-07T01:00+01:00,1.285,0.72,0.466,0.568,8.5
2000-02-14T01:00+01:00,1.2,0.623,0.422,0.56,8.5
2000-02-21T01:00+01:00,1.074,0.526,0.366,0.525,8.5
2000-02-28T01:00+01:00,0.95,0.437,0.334,0.479,8.5
2000-03-06T01:00+01:00,0.831,0.382,0.302,0.446,8.5
2000-03-13T01:00+01:00,0.722,0.335,0.272,0.431,8.5
2000-03-20T01:00+01:00,0.638,0.289,0.238,0.39,8.5
2000-03-27T02:00+02:00,0.539,0.246,0.203,0.361,8.5
2000-04-03T02:00+02:00,0.413,0.184,0.164,0.318,8.5
2000-04-10T02:00+02:00,0.302,0.14,0.129,0.279,8.5
2000-04-17T02:00+02:00,0.218,0.118,0.115,0.252,8.5
2000-04-24T02:00+02:00,0.215,0.123,0.128,0.288,8.5
2000-05-01T02:00+02:00,0.234,0.209,0.169,0.372,8.5
2000-05-08T02:00+02:00,0.261,0.334,0.229,0.448,8.5
2000-05-15T02:00+02:00,0.365,0.505,0.325,0.534,8.5
2000-05-22T02:00+02:00,0.519,0.651,0.403,0.587,8.5
2000-05-29T02:00+02:00,0.644,0.761,0.455,0.594,8.5
2000-06-05T02:00+02:00,0.809,0.88,0.534,0.675,8.5
2000-06-12T02:00+02:00,1.118,1.028,0.654,0.774,8.5
2000-06-19T02:00+02:00,1.324,1.136,0.756,0.858,8.5
2000-06-26T02:00+02:00,1.603,1.21,0.816,0.933,8.5
2000-07-03T02:00+02:00,1.79,1.227,0.83,0.954,8.5
2000-07-10T02:00+02:00,2.027,1.287,0.844,1.029,8.5
2000-07-17T02:00+02:00,2.103,1.329,0.859,1.106,8.5
2000-07-24T02:00+02:00,2.189,1.342,0.866,1.107,8.5
2000-07-31T02:00+02:00,2.445,1.486,0.942,1.204,8.5
2000-08-07T02:00+02:00,2.644,1.585,0.961,1.268,8.56
2000-08-14T02:00+02:00,2.847,1.65,0.972,1.329,8.56
2000-08-21T02:00+02:00,3.121,1.661,0.98,1.378,8.56
2000-08-28T02:00+02:00,3.358,1.677,0.988,1.406,8.56
2000-09-04T02:00+02:00,3.423,1.67,0.991,1.422,8.56
2000-09-11T02:00+02:00,3.439,1.651,0.981,1.43,8.56
2000-09-18T02:00+02:00,3.515,1.64,0.975,1.427,8.56
2000-09-25T02:00+02:00,3.559,1.71,1.04,1.484,8.56
2000-10-02T02:00+02:00,3.571,1.743,1.106,1.478,8.56
2000-10-09T02:00+02:00,3.572,1.784,1.126,1.465,8.56
2000-10-16T02:00+02:00,3.61,1.904,1.188,1.529,8.56
2000-10-23T02:00+02:00,3.637,1.915,1.177,1.502,8.56
2000-10-30T01:00+01:00,3.538,1.891,1.164,1.469,8.56
2000-11-06T01:00+01:00,3.47,1.909,1.171,1.459,8.56
2000-11-13T01:00+01:00,3.385,1.902,1.144,1.425,8.56
2000-11-20T01:00+01:00,3.27,1.922,1.138,1.395,8.56
2000-11-27T01:00+01:00,3.146,1.877,1.104,1.361,8.56
2000-12-04T01:00+01:00,3.04,1.827,1.069,1.324,8.56
2000-12-11T01:00+01:00,2.936,1.775,1.043,1.275,8.56
2000-12-18T01:00+01:00,2.828,1.699,0.997,1.219,8.56
2000-12-25T01:00+01:00,2.704,1.609,0.938,1.128,8.56
2001-01-01T01:00+01:00,2.648,1.599,0.925,1.121,8.56
2001-01-08T01:00+01:00,2.58,1.548,0.899,1.124,8.56
2001-01-15T01:00+01:00,2.462,1.443,0.844,1.045,8.56
2001-01-22T01:00+01:00,2.306,1.319,0.757,0.94,8.56
2001-01-29T01:00+01:00,2.167,1.213,0.705,0.882,8.56
2001-02-05T01:00+01:00,1.99,1.089,0.633,0.799,8.56
2001-02-12T01:00+01:00,1.843,0.998,0.593,0.769,8.56
2001-02-19T01:00+01:00,1.671,0.882,0.539,0.698,8.56
2001-02-26T01:00+01:00,1.466,0.748,0.489,0.614,8.56
2001-03-05T01:00+01:00,1.261,0.593,0.406,0.512,8.56
2001-03-12T01:00+01:00,1.146,0.5,0.351,0.513,8.56
2001-03-19T01:00+01:00,1.033,0.433,0.312,0.523,8.56
2001-03-26T02:00+02:00,0.954,0.376,0.283,0.555,8.56
2001-04-02T02:00+02:00,0.81,0.314,0.24,0.517,8.56
2001-04-09T02:00+02:00,0.681,0.271,0.191,0.485,8.56
2001-04-16T02:00+02:00,0.585,0.229,0.159,0.456,8.56
2001-04-23T02:00+02:00,0.478,0.178,0.131,0.375,8.56
2001-04-30T02:00+02:00,0.414,0.154,0.111,0.36,8.56
2001-05-07T02:00+02:00,0.404,0.212,0.145,0.432,8.56
2001-05-14T02:00+02:00,0.429,0.333,0.207,0.477,8.56
2001-05-21T02:00+02:00,0.479,0.48,0.309,0.526,8.56
2001-05-28T02:00+02:00,0.58,0.65,0.43,0.605,8.56
2001-06-04T02:00+02:00,0.801,0.858,0.569,0.68,8.56
2001-06-11T02:00+02:00,0.929,1.016,0.677,0.727,8.56
2001-06-18T02:00+02:00,1.094,1.196,0.804,0.786,8.56
2001-06-25T02:00+02:00,1.243,1.326,0.898,0.836,8.56
2001-07-02T02:00+02:00,1.611,1.52,1.011,0.946,8.56
2001-07-09T02:00+02:00,1.977,1.674,1.076,1.025,8.56
2001-07-16T02:00+02:00,2.215,1.771,1.108,1.084,8.56
2001-07-23T02:00+02:00,2.404,1.84,1.137,1.173,8.56
2001-07-30T02:00+02:00,2.649,1.849,1.132,1.24,8.56
2001-08-06T02:00+02:00,2.998,1.92,1.152,1.34,8.56
2001-08-13T02:00+02:00,3.221,1.92,1.148,1.361,8.56
2001-08-20T02:00+02:00,3.383,1.873,1.117,1.385,8.56
2001-08-27T02:00+02:00,3.537,1.85,1.088,1.402,8.56
2001-09-03T02:00+02:00,3.549,1.835,1.065,1.442,8.56
2001-09-10T02:00+02:00,3.554,1.834,1.06,1.487,8.56
2001-09-17T02:00+02:00,3.522,1.82,1.051,1.46,8.56
2001-09-24T02:00+02:00,3.471,1.789,1.037,1.436,8.56
2001-10-01T02:00+02:00,3.433,1.775,1.041,1.425,8.56
2001-10-08T02:00+02:00,3.436,1.801,1.047,1.447,8.56
2001-10-15T02:00+02:00,3.418,1.826,1.073,1.444,8.56
2001-10-22T02:00+02:00,3.362,1.801,1.059,1.426,8.56
2001-10-29T01:00+01:00,3.277,1.781,1.042,1.398,8.56
2001-11-05T01:00+01:00,3.208,1.757,1.011,1.36,8.56
2001-11-12T01:00+01:00,3.087,1.703,0.963,1.321,8.56
2001-11-19T01:00+01:00,2.94,1.614,0.899,1.268,8.56
2001-11-26T01:00+01:00,2.802,1.522,0.839,1.207,8.56
2001-12-03T01:00+01:00,2.694,1.448,0.797,1.192,8.56
2001-12-10T01:00+01:00,2.586,1.36,0.758,1.152,8.56
2001-12-17T01:00+01:00,2.42,1.235,0.684,1.07,8.56
2001-12-24T01:00+01:00,2.256,1.113,0.616,0.975,8.56
2001-12-31T01:00+01:00,2.209,1.106,0.595,0.989,8.56
2002-01-07T01:00+01:00,2.117,1.063,0.561,0.969,8.56
2002-01-14T01:00+01:00,1.967,0.945,0.505,0.873,8.56
2002-01-21T01:00+01:00,1.837,0.818,0.465,0.809,8.56
2002-01-28T01:00+01:00,1.734,0.765,0.432,0.772,8.56
2002-02-04T01:00+01:00,1.658,0.727,0.405,0.757,8.56
2002-02-11T01:00+01:00,1.571,0.692,0.377,0.746,8.56
2002-02-18T01:00+01:00,1.472,0.657,0.346,0.724,8.56
2002-02-25T01:00+01:00,1.351,0.588,0.302,0.685,8.56
2002-03-04T01:00+01:00,1.24,0.544,0.272,0.678,8.56
2002-03-11T01:00+01:00,1.139,0.515,0.252,0.645,8.56
2002-03-18T01:00+01:00,1.044,0.488,0.231,0.61,8.56
2002-03-25T01:00+01:00,0.978,0.481,0.218,0.636,8.56
2002-04-01T02:00+02:00,0.89,0.459,0.185,0.585,8.56
2002-04-08T02:00+02:00,0.826,0.453,0.168,0.547,8.56
2002-04-15T02:00+02:00,0.718,0.409,0.135,0.479,8.56
2002-04-22T02:00+02:00,0.617,0.368,0.109,0.408,8.56
2002-04-29T02:00+02:00,0.556,0.369,0.101,0.418,8.56
2002-05-06T02:00+02:00,0.526,0.422,0.143,0.459,8.56
2002-05-13T02:00+02:00,0.518,0.472,0.174,0.474,8.56
